URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/by/kevin-roose,363,52,text/html
https://www.nytimes.com/sitemap/1885/,72,39,text/html
https://www.nytimes.com/2022/05/20/opinion/johnny-depp-amber-heard-social-media-sexism.html,231,66,text/html
https://www.nytimes.com/2023/10/05/business/economy/shawn-fain-uaw-profile.html,281,50,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F08%2F22%2Fbusiness%2Feconomy%2Fups-contract-vote-teamsters.html,1,4,application/json
https://www.nytimes.com/2022/01/08/opinion/novak-djokovic-australian-open-vaccine.html,228,52,text/html
https://www.nytimes.com/2023/10/03/science/same-sex-behavior-evolution-mammals.html,204,40,text/html
https://www.nytimes.com/section/books/review,500,89,text/html
https://www.nytimes.com/2021/10/20/sports/women-soccer-abuse-ceo.html,200,34,text/html
https://www.nytimes.com/sitemap/1905/,72,39,text/html
https://www.nytimes.com/news-event/ukraine-russia,901,70,text/html
https://www.nytimes.com/2019/11/07/opinion/nike-running-mary-cain.html,289,41,text/html
https://www.nytimes.com/2023/10/08/us/crimecon-true-crime-idaho-murder-stacy-chapin.html,245,35,text/html
https://www.nytimes.com/2023/10/06/us/berkeley-indigenous-peoples-day.html,249,51,text/html
https://www.nytimes.com/live/2023/10/05/world/russia-ukraine-news/ukrainian-officials-say-a-russian-strike-killed-dozens-in-the-kharkiv-region,945,83,text/html
https://www.nytimes.com/2023/09/18/world/europe/ukraine-missile-kostiantynivka-market.html,340,70,text/html
https://www.nytimes.com/2023/09/18/us/missing-f35-military-jet-charleston.html,209,45,text/html
https://www.nytimes.com/2023/09/17/world/europe/ukraine-russia-war-klishchiivka-bakhmut.html,231,56,text/html
https://www.nytimes.com/2023/09/25/us/bay-area-dark-skies.html,245,52,text/html
https://www.nytimes.com/2023/07/25/world/europe/ukraine-marines-front-line.html,221,38,text/html
https://www.nytimes.com/2023/10/07/us/politics/laphonza-butler-uber-lobbying.html,250,47,text/html
https://www.nytimes.com/2023/10/03/us/kevin-mccarthy-house-speaker.html,212,37,text/html
https://www.nytimes.com/by/andrew-e-kramer,428,50,text/html
https://www.nytimes.com/2019/12/31/opinion/Women-coaching-sports-title-ix.html,271,43,text/html
https://www.nytimes.com/sitemap/yesterday/,136,126,text/html
https://www.nytimes.com/by/juliet-macur,290,49,text/html
https://www.nytimes.com/2023/10/05/magazine/jack-fisk-movie-sets.html,339,41,text/html
https://www.nytimes.com/2023/08/18/opinion/womens-world-cup-final-uswnt-megan-rapinoe.html,225,50,text/html
https://www.nytimes.com/2023/06/16/business/economy/ups-union-workers-strike.html,209,39,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Ftechnology%2Fprediction-markets-manifold-manifest.html,1,4,application/json
https://www.nytimes.com/2023/10/08/opinion/supreme-court-reputation.html,215,46,text/html
https://www.nytimes.com/section/sports,309,59,text/html
https://www.nytimes.com/sitemap/1901/,72,39,text/html
https://www.nytimes.com/by/karen-yourish,779,50,text/html
https://www.nytimes.com/sitemap/1994/,72,39,text/html
https://www.nytimes.com/2023/07/25/business/economy/ups-teamsters-contract-strike.html,220,49,text/html
https://www.nytimes.com/2022/05/25/opinion/jocelyn-benson-protests-judges-homes.html,215,44,text/html
https://www.nytimes.com/2022/04/24/opinion/culture/no-regrets-mariko-yugeta.html,218,49,text/html
https://www.nytimes.com/2023/10/02/science/lise-meitner-fission-nobel.html,270,71,text/html
https://www.nytimes.com/sitemap/1921/,72,39,text/html
https://www.nytimes.com/2023/10/08/us/politics/biden-trump-third-parties-no-labels.html,247,57,text/html
https://www.nytimes.com/sitemap/1997/,72,39,text/html
https://www.nytimes.com/2022/04/06/opinion/baseball-nationalize.html,223,38,text/html
https://www.nytimes.com/2023/10/01/world/europe/ukraine-snipers-russia.html,268,40,text/html
https://www.nytimes.com/ca/section/us,640,59,text/html
https://www.nytimes.com/2023/10/05/world/europe/ukraine-kharkiv-hroza-explosion.html,223,47,text/html
https://www.nytimes.com/2023/10/03/us/california-senator-laphonza-butler-dianne-feinstein.html,249,49,text/html
https://www.nytimes.com/newsletters/signup/CA,81,29,text/html
https://www.nytimes.com/es/2023/09/24/espanol/paul-landis-libro-jfk-asesinato.html,283,44,text/html
https://www.nytimes.com/2023/09/06/us/jail-free-writing.html,237,38,text/html
https://www.nytimes.com/live/2023/09/12/world/russia-ukraine-news/destruction-revisits-an-eastern-village-shattered-in-world-war-ii,808,71,text/html
https://www.nytimes.com/spotlight/race,708,67,text/html
https://www.nytimes.com/by/soumya-karlamangla,458,50,text/html
https://www.nytimes.com/by/maria-varenikova,406,48,text/html
https://www.nytimes.com/2012/06/11/sports/title-ix-has-not-given-black-female-athletes-equal-opportunity.html,205,39,text/html
https://www.nytimes.com/sitemap/1876/,72,39,text/html
https://www.nytimes.com/2023/10/08/opinion/truth-flossing-cold-medicine.html,211,47,text/html
https://www.nytimes.com/by/jonathan-wolfe,301,50,text/html
https://www.nytimes.com/sitemap/1969/,72,39,text/html
https://www.nytimes.com/2022/04/08/opinion/culture/naomi-osaka-miami-open.html,221,55,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2022%2F06%2F04%2Fopinion%2Famber-heard-johnny-depp-trial-celebrity.html,1,4,application/json
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fopinion%2Fsupreme-court-reputation.html,1,4,application/json
https://www.nytimes.com/sitemap/1873/,72,39,text/html
https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-war-hamas-palestinians.html,229,43,text/html
https://www.nytimes.com/sitemap/1949/,72,39,text/html
https://www.nytimes.com/section/travel,718,94,text/html
https://www.nytimes.com/section/business/economy,602,60,text/html
https://www.nytimes.com/puzzles/letter-boxed,95,41,text/html
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack,1846,106,text/html
https://www.nytimes.com/sitemap/lastweek/,797,1106,text/html
https://www.nytimes.com/2023/10/06/business/steve-cohen-mets-major-league-baseball.html,210,43,text/html
https://www.nytimes.com/sitemap/1989/,72,39,text/html
https://www.nytimes.com/2022/05/23/style/kourtney-kardashian-travis-barker-wedding.html,226,58,text/html
https://www.nytimes.com/2023/09/12/well/live/decongestant-phenylephrine-cold-medicine-alternative.html,193,36,text/html
https://www.nytimes.com/sitemap/1892/,72,39,text/html
https://www.nytimes.com/2023/10/03/magazine/mexican-journalists-assassinations.html,338,41,text/html
https://www.nytimes.com/subscription?campaignId=37WXW,14,2,text/html
https://www.nytimes.com/sitemap/1985/,72,39,text/html
https://www.nytimes.com/interactive/2023/09/28/world/europe/russia-ukraine-war-map-front-line.html,476,42,text/html
https://www.nytimes.com/2020/11/28/sports/sarah-fuller-woman-kicker-vanderbilt.html,211,46,text/html
https://www.nytimes.com/2023/10/07/us/politics/republicans-israel-iran-hamas.html,228,49,text/html
https://www.nytimes.com/2023/08/08/us/los-angeles-city-strike.html,193,37,text/html
https://www.nytimes.com/by/reid-j-epstein,557,49,text/html
https://www.nytimes.com/2023/10/05/upshot/fentanyl-opioids-mexico-explainer.html,300,67,text/html
https://www.nytimes.com/2023/09/28/us/san-francisco-reputation.html,243,53,text/html
https://www.nytimes.com/live/2023/10/03/world/russia-ukraine-news/ukraines-snipers-are-an-overlooked-but-essential-part-of-the-fight,817,78,text/html
https://www.nytimes.com/2019/07/09/us/politics/ross-perot-death.html,301,49,text/html
https://www.nytimes.com/2023/10/04/business/american-airlines-david-ryan-harris-trafficking.html,199,34,text/html
